id,code,name,user_type_id:id,reconcile,chart_template_id:id
111.01,111.01,KAS                                      ,account.data_account_type_liquidity,TRUE,l10n_id_school
111.02,111.02,DEPOSITO                                 ,account.data_account_type_liquidity,TRUE,l10n_id_school
111.03,111.03,BON SEMENTARA                            ,account.data_account_type_liquidity,TRUE,l10n_id_school
111.05,111.05,KAS KECIL                                ,account.data_account_type_liquidity,TRUE,l10n_id_school
111.06,111.06,OUT STANDING CASH                        ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.01,112.01,BANK BCA 361                             ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.05,112.05,BANK MASPION 3021003289                  ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.06,112.06,BANK BCA 3290189988                      ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.07,112.07,BANK BNI 7272727285                      ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.08,112.08,BANK MANDIRI                             ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.09,112.09,BANK MASPION PT.FEI                      ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.1,112.1,BANK NIAGA PT FEI                        ,account.data_account_type_liquidity,TRUE,l10n_id_school
112.11,112.11,BANK BUKOPIN 100.3966.051                ,account.data_account_type_liquidity,TRUE,l10n_id_school
113.11,113.11,PIUTANG SCHOOL FEE  IY              ,account.data_account_type_receivable,TRUE,l10n_id_school
113.12,113.12,PIUTANG ANNUAL FEE   IY,account.data_account_type_receivable,TRUE,l10n_id_school
113.13,113.13,PIUTANG SUMBANGAN PEMBANGUNAN    IY,account.data_account_type_receivable,TRUE,l10n_id_school
113.21,113.21,PIUTANG SCHOOL FEE  PRIMARY,account.data_account_type_receivable,TRUE,l10n_id_school
113.22,113.22,PIUTANG ANNUAL FEE   PRIMARY,account.data_account_type_receivable,TRUE,l10n_id_school
113.23,113.23,PIUTANG SUMBANGAN PEMBANGUNAN   PRIMARY,account.data_account_type_receivable,TRUE,l10n_id_school
113.31,113.31,PIUTANG SCHOOL FEE  SECONDARY,account.data_account_type_receivable,TRUE,l10n_id_school
113.32,113.32,PIUTANG ANNUAL FEE   SECONDARY,account.data_account_type_receivable,TRUE,l10n_id_school
113.33,113.33,PIUTANG SUMBANGAN PEMBANGUNAN   SECONDARY,account.data_account_type_receivable,TRUE,l10n_id_school
114.01,114.01,PIUTANG PS (RR)                          ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.02,114.02,PIUTANG PS (HP)                          ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.03,114.03,PIUTANG LAIN-LAIN                        ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.04,114.04,"PIUTANG JAKARTA 1,5                      ",account.data_account_type_current_assets,FALSE,l10n_id_school
114.05,114.05,PIUTANG KARYAWAN                         ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.06,114.06,PIUTANG PAK SOEBIANTO                    ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.07,114.07,PIUTANG KGB                              ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.08,114.08,PIUTANG COKRO                            ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.09,114.09,PIUTANG FBI                              ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.1,114.1,PIUTANG PAK SH 4M                        ,account.data_account_type_current_assets,FALSE,l10n_id_school
114.11,114.11,PIUTANG BUNGA HP                         ,account.data_account_type_current_assets,FALSE,l10n_id_school
115.01,115.01,UANG MUKA PEMBELIAN                      ,account.data_account_type_prepayments,FALSE,l10n_id_school
115.02,115.02,UANG MUKA MANAHAN                        ,account.data_account_type_prepayments,FALSE,l10n_id_school
115.03,115.03,UANG MUKA LAIN LAIN                      ,account.data_account_type_prepayments,FALSE,l10n_id_school
116.01,116.01,SEWA DIBAYAR DIMUKA                      ,account.data_account_type_prepayments,FALSE,l10n_id_school
117.01,117.01,BIAYA DIBAYAR DIMUKA RENOVASI            ,account.data_account_type_prepayments,FALSE,l10n_id_school
117.02,117.02,ASURANSI DIBAYAR DIMUKA                  ,account.data_account_type_prepayments,FALSE,l10n_id_school
117.03,117.03,GAJI DIBAYAR DIMUKA                      ,account.data_account_type_prepayments,FALSE,l10n_id_school
117.04,117.04,BUNGA DIBAYAR DIMUKA                     ,account.data_account_type_prepayments,FALSE,l10n_id_school
118.01,118.01,PERSEDIAAN SERAGAM TK                    ,account.data_account_type_current_assets,FALSE,l10n_id_school
118.02,118.02,PERSEDIAAN SERAGAM SD                    ,account.data_account_type_current_assets,FALSE,l10n_id_school
118.03,118.03,PERSEDIAAN LAIN-LAIN                     ,account.data_account_type_current_assets,FALSE,l10n_id_school
118.04,118.04,PERSEDIAAN BUKU                          ,account.data_account_type_current_assets,FALSE,l10n_id_school
118.05,118.05,PERSEDIAAN ATK                           ,account.data_account_type_current_assets,FALSE,l10n_id_school
118.06,118.06,PERSEDIAAN KAIN                          ,account.data_account_type_current_assets,FALSE,l10n_id_school
118.07,118.07,PERSEDIAAN AKSESORIS SERAGAM             ,account.data_account_type_current_assets,FALSE,l10n_id_school
120.01,120.01,TANAH                                    ,account.data_account_type_fixed_assets,FALSE,l10n_id_school
121.01,121.01,KENDARAAN                                ,account.data_account_type_fixed_assets,TRUE,l10n_id_school
121.02,121.02,TOYS & LIBRARY                           ,account.data_account_type_fixed_assets,FALSE,l10n_id_school
121.03,121.03,FURNITURE & EQUIP                        ,account.data_account_type_fixed_assets,FALSE,l10n_id_school
121.04,121.04,ELEKTRONIK                               ,account.data_account_type_fixed_assets,FALSE,l10n_id_school
121.05,121.05,AKTIVA TETAP LAINNYA                     ,account.data_account_type_fixed_assets,FALSE,l10n_id_school
121.06,121.06,AKUMULASI PENYUSUTAN AKT TETAP           ,account.data_account_type_fixed_assets,FALSE,l10n_id_school
121.07,121.07,BANGUNAN                                 ,account.data_account_type_fixed_assets,FALSE,l10n_id_school
130.01,130.01,INITIAL FRANCHISE FEE                    ,account.data_account_type_non_current_assets,FALSE,l10n_id_school
130.02,130.02,AKUMULASI DEPRESIASI FRANCHISE FEE       ,account.data_account_type_non_current_assets,FALSE,l10n_id_school
130.03,130.03,ORGANIZATION COST                        ,account.data_account_type_non_current_assets,FALSE,l10n_id_school
130.04,130.04,AKUMULASI DEPRESIASI ORGANIZATION COST   ,account.data_account_type_non_current_assets,FALSE,l10n_id_school
140.01,140.01,BANGUNAN DLM PENGERJAAN                  ,account.data_account_type_non_current_assets,FALSE,l10n_id_school
140.02,140.02,KS.TUBUN 29                              ,account.data_account_type_non_current_assets,FALSE,l10n_id_school
210.01,210.01,HUTANG BU HENNY                          ,account.data_account_type_payable,TRUE,l10n_id_school
210.02,210.02,HUTANG PAK MITRO                         ,account.data_account_type_payable,TRUE,l10n_id_school
210.03,210.03,HUTANG DAGANG                            ,account.data_account_type_payable,TRUE,l10n_id_school
211.01,211.01,ADVANCE SCHOOL FEE IY,account.data_account_type_current_liabilities,FALSE,l10n_id_school
211.02,211.02,ADVANCE ANNUAL FEE IY,account.data_account_type_current_liabilities,FALSE,l10n_id_school
211.03,211.03,ADVANCE SUMBANGAN PEMBAGUNAN IY,account.data_account_type_current_liabilities,FALSE,l10n_id_school
212.01,212.01,ADVANCE SCHOOL FEE PRIMARY,account.data_account_type_current_liabilities,FALSE,l10n_id_school
212.02,212.02,ADVANCE ANNUAL FEE PRIMARY,account.data_account_type_current_liabilities,FALSE,l10n_id_school
212.03,212.03,ADVANCE SUMBANGAN PEMBAGUNAN PRIMARY,account.data_account_type_current_liabilities,FALSE,l10n_id_school
